,,,,,,,,
"Kvarnhjul 0,54m",,,,,,,,
Ström (A),,,,,Spänning (V),,,
Tid,Test 1,Test 2,Test 3,,Tid,Test 1,Test 2,Test 3
"Kvarnhjul 1,6 m",,,,,,,,
Ström (A) ,,,,,Spänning (V) ,,,
Tid,Test 1,Test 2,Test 3,,Tid ,Test 1,Test 2,Test 3
2,"0,0389099121","0,0873565674","0,0719070435",,2,"0,0005531311","0,0054168701","0,0319671631"
"2,15","0,0602344819","0,0782012939","0,0778198242",,"2,15","0,0244903564","0,0475311279","0,0416564941"
"2,25","0,0661849976","0,0600814819","0,0839233398",,"2,25","0,0290489197","0,0157165527","0,0149917603"
"2,5","0,0631332397","0,0965118408","0,0688552856",,"2,5","0,0599479675","0,0823783875","0,0186347961"
3,"0,0509262085","0,0722885132","0,0961303711",,3,"0,0766181946","0,0854110718","0,0392341614"
"3,15","0,0692367554","0,0843048096","0,0900268555",,"3,15","0,0726890564","0,0860214233","0,0159072876"
"3,25","0,0600814819","0,0873565674","0,0688552856",,"3,25","0,0238990784","0,0329971313","0,0037765503"
"3,5","0,0722885132","0,0873565674","0,0627517700",,"3,5","0,0769233704","0,0475311279","0,0074195862"
4,"0,0751495361","0,0631332397","0,0778198242",,4,"0,0002479553","0,0129890442","0,0971221924"
"4,15","0,0600814819","0,0539779663","0,0688552856",,"4,15","0,0572204590","0,0496482849","0,0298500061"
"4,25","0,0782012939","0,0751495361","0,0839233398",,"4,25","0,0899505615","0,0872421265","0,0389289856"
"4,5","0,0661849976","0,0692367554","0,0869750977",,"4,5","0,0229835510","0,0787544250","0,0477218628"
5,"0,0934600830","0,0692367554","0,1050949097",,5,"0,0029754639","0,0526809692","0,0546836853"
"5,15","0,0904083252","0,0631332397","0,1050949097",,"5,15","0,0338935852","0,0484466553","0,0398445129"
"5,25","0,0873565674","0,0661849976","0,1020431519",,"5,25","0,0075340271","0,0457191467","0,0974273682"
"5,5","0,0539779663","0,0751495361","0,0961303711",,"5,5","0,0193405151","0,0881385803","0,0913619995"
6,"0,0751495361","0,0965118408","0,0747680664",,6,"0,0354003906","0,0581359863","0,0392341614"
"6,15","0,0873565674","0,0934600830","0,0930786133",,"6,15","0,0247955322","0,0363159180","0,0413513184"
"6,25","0,0812530518","0,0843048096","0,1020431519",,"6,25","0,0784492493","0,0429916382","0,0156021118"
"6,5","0,0024795532","0,0692367554","0,0900268555",,"6,5","0,0017738342","0,0984573364","0,0365066528"
7,"0,0055313110","0,0722885132","0,0688552856",,7,"0,0599479675","0,0535964966","0,0534820557"
"7,15","0,0024795532","0,0782012939","0,0778198242",,"7,15","0,0163078308","0,0736045837","0,0549888611"
"7,25","0,0934600830","0,0692367554","0,0869750977",,"7,25","0,0817680359","0,0557136536","0,0983238220"
"7,5","0,0064849854","0,0478744507","0,0535964966",,"7,5","0,0784492493","0,0181388855","0,0186347961"
8,"0,0873565674","0,0509262085","0,0930786133",,8,"0,0599479675","0,0708770752","0,1022720337"
